commodity,date,title,description,source,text
sugar,2026-06-22 19:16:28+00:00,"""Nunc dimittis, Domine."" ~ The last words of Thomas Jefferson, July 4, 1826","Detail from a portrait of an elderly Thomas Jefferson as painted by Thomas Sulley, 1821. In a previous post, I examined some of the speculation about George Washington's death, and the curious legend that he had died having confessed himself to a Catholic pri…",Freerepublic.com,"""Nunc dimittis, Domine."" ~ The last words of Thomas Jefferson, July 4, 1826 Detail from a portrait of an elderly Thomas Jefferson as painted by Thomas Sulley, 1821. In a previous post, I examined some of the speculation about George Washington's death, and the curious legend that he had died having confessed himself to a Catholic pri…"
sugar,2026-06-22 19:00:57+00:00,Car Paint Darker Than Almost Anything on Earth Just Cleared a Key Hurdle,"Carbon nanotubes, essentially sheets of carbon atoms rolled into microscopic tubes, are exceptional light absorbers. The problem is that they are notoriously difficult to keep evenly distributed in a liquid coating mixture; they tend to clump, separate, and s…",Freerepublic.com,"Car Paint Darker Than Almost Anything on Earth Just Cleared a Key Hurdle Carbon nanotubes, essentially sheets of carbon atoms rolled into microscopic tubes, are exceptional light absorbers. The problem is that they are notoriously difficult to keep evenly distributed in a liquid coating mixture; they tend to clump, separate, and s…"
sugar,2026-06-22 18:44:42+00:00,Albanian Protesters Storm Construction Site Amid Fury Over Jared Kushner's Project | AC1G,"Angry protesters in Albania vandalized a construction site linked to a controversial development project, accusing political leaders of enriching themselves at the expense of ordinary citizens. Demonstrators denounced Prime Minister Edi Rama and opposition le…",Freerepublic.com,"Albanian Protesters Storm Construction Site Amid Fury Over Jared Kushner's Project | AC1G Angry protesters in Albania vandalized a construction site linked to a controversial development project, accusing political leaders of enriching themselves at the expense of ordinary citizens. Demonstrators denounced Prime Minister Edi Rama and opposition le…"
sugar,2026-06-22 18:36:39+00:00,Terrorist Org [CAIR] Sues Fort Worth ISD for Reassigning Muslim Principal,Shayma Alzubi was reassigned after social media posts supporting Sharia were brought to light. A federal civil rights lawsuit has been filed against the Fort Worth Independent School District over its decision to reassign a newly promoted high school principa…,Freerepublic.com,Terrorist Org [CAIR] Sues Fort Worth ISD for Reassigning Muslim Principal Shayma Alzubi was reassigned after social media posts supporting Sharia were brought to light. A federal civil rights lawsuit has been filed against the Fort Worth Independent School District over its decision to reassign a newly promoted high school principa…
sugar,2026-06-22 18:35:21+00:00,Slumping Crude Oil Pressures Sugar Prices,"July NY world sugar #11 (SBN26) on Monday closed down -0.24 (-1.77%), and Aug London ICE white sugar #5 (SWQ26) closed down -0.40 (-0.09%).
Sugar prices moved lower on Monday, with NY sugar falling sharply to a 2-month low. Monday’s -2% decline in crude oil p…",Biztoc.com,"Slumping Crude Oil Pressures Sugar Prices July NY world sugar #11 (SBN26) on Monday closed down -0.24 (-1.77%), and Aug London ICE white sugar #5 (SWQ26) closed down -0.40 (-0.09%).
Sugar prices moved lower on Monday, with NY sugar falling sharply to a 2-month low. Monday’s -2% decline in crude oil p…"
sugar,2026-06-22 18:29:54+00:00,The 3 Drink Orders That Instantly Earn a Bartender’s Respect,Bartenders can learn a lot about a guest from a single drink order. A belly-up-to-the-bar order can reveal whether you are dealing with someone who just saw an influencer making a cocktail on TikTok or someone who genuinely appreciates what’s in the glass and…,Chilledmagazine.com,The 3 Drink Orders That Instantly Earn a Bartender’s Respect Bartenders can learn a lot about a guest from a single drink order. A belly-up-to-the-bar order can reveal whether you are dealing with someone who just saw an influencer making a cocktail on TikTok or someone who genuinely appreciates what’s in the glass and…
sugar,2026-06-22 18:27:22+00:00,Slumping Crude Oil Pressures Sugar Prices,"July NY world sugar #11 (SBN26 ) on Monday closed down -0.24 (-1.77%), and Aug London ICE white sugar #5 (SWQ26 ) closed down -0.40 (-0.09%). Sugar prices mo...",Barchart.com,"Slumping Crude Oil Pressures Sugar Prices July NY world sugar #11 (SBN26 ) on Monday closed down -0.24 (-1.77%), and Aug London ICE white sugar #5 (SWQ26 ) closed down -0.40 (-0.09%). Sugar prices mo..."
sugar,2026-06-22 18:23:02+00:00,Drag Queen School Board Member Arrested For Child Sex Crimes Was Guest Speaker at Pennsylvania Democrat Caucus in 2024 (VIDEO),The perfect Democrat.,Freerepublic.com,Drag Queen School Board Member Arrested For Child Sex Crimes Was Guest Speaker at Pennsylvania Democrat Caucus in 2024 (VIDEO) The perfect Democrat.
sugar,2026-06-22 18:14:31+00:00,The One Position That Could Make or Break Ole Miss' Season,What position could be the ultimate make-or-break for the Ole Miss Rebels?,Sports Illustrated,The One Position That Could Make or Break Ole Miss' Season What position could be the ultimate make-or-break for the Ole Miss Rebels?
sugar,2026-06-22 18:00:33+00:00,19 things we’re hoping to see on sale this Prime Day,"Amazon Prime Day 2026 is coming soon, and our editors are sharing the deals they hope to see across tech, home, beauty, kitchen and more.",NBC News,"19 things we’re hoping to see on sale this Prime Day Amazon Prime Day 2026 is coming soon, and our editors are sharing the deals they hope to see across tech, home, beauty, kitchen and more."
sugar,2026-06-22 18:00:32+00:00,Body of Evidence: Hearing loss and brain health - what is the science telling us?,"Dr Catherine Conlon looks at the research linking hearing loss to brain health, heart disease and social isolation, while there are promising new treatments offering some hope.",TheJournal.ie,"Body of Evidence: Hearing loss and brain health - what is the science telling us? Dr Catherine Conlon looks at the research linking hearing loss to brain health, heart disease and social isolation, while there are promising new treatments offering some hope."
sugar,2026-06-22 18:00:00+00:00,Electrolytes are everywhere. Should you be drinking them?,"Washington Post: What electrolytes do, who needs them and the potential risks.",The Washington Post,"Electrolytes are everywhere. Should you be drinking them? Washington Post: What electrolytes do, who needs them and the potential risks."
sugar,2026-06-22 17:58:54+00:00,What’s Your Go-To Drink for Summer Adventuring?,"Drink experts share their favorite summer sips to enjoy on outdoor adventures.
The post What’s Your Go-To Drink for Summer Adventuring? appeared first on Imbibe Magazine.",Imbibemagazine.com,"What’s Your Go-To Drink for Summer Adventuring? Drink experts share their favorite summer sips to enjoy on outdoor adventures.
The post What’s Your Go-To Drink for Summer Adventuring? appeared first on Imbibe Magazine."
sugar,2026-06-22 17:57:15+00:00,"Egyptian proverb of the day: 'People are measured by their minds and not by their years; for how many young ones have minds that weigh as much as a mountain, and how many elders have hearts as hollow as sugar cane?' Why more age does not always mean more intelligence","An old Egyptian proverb says, “People are measured by their minds and not by their years; for how many young ones have minds that weigh as much as a mountain, and how many elders have hearts as hollow as sugar cane?” The saying challenges the belief that wisd…",The Times of India,"Egyptian proverb of the day: 'People are measured by their minds and not by their years; for how many young ones have minds that weigh as much as a mountain, and how many elders have hearts as hollow as sugar cane?' Why more age does not always mean more intelligence An old Egyptian proverb says, “People are measured by their minds and not by their years; for how many young ones have minds that weigh as much as a mountain, and how many elders have hearts as hollow as sugar cane?” The saying challenges the belief that wisd…"
sugar,2026-06-22 17:50:55+00:00,GM letting some EV owners sell electricity back to the US power grid (only 4.61 years left),"General Motors on Tuesday announced it's releasing a software update that allows some electric vehicle (EV) owners to send power back to the electric grid. The update allows owners of GM's vehicle-to-home energy system, which allows the EV to power the home d…",Freerepublic.com,"GM letting some EV owners sell electricity back to the US power grid (only 4.61 years left) General Motors on Tuesday announced it's releasing a software update that allows some electric vehicle (EV) owners to send power back to the electric grid. The update allows owners of GM's vehicle-to-home energy system, which allows the EV to power the home d…"
sugar,2026-06-22 17:47:17+00:00,"Lifestyle habit majority of people follow is worse than smoking, study finds","The lifestyle most Americans lead quadruples death risk, far exceeding smoking's toll. Roughly 80 percent of Americans fail to do what could slash their risk of death by any cause.",Dailymail.com,"Lifestyle habit majority of people follow is worse than smoking, study finds The lifestyle most Americans lead quadruples death risk, far exceeding smoking's toll. Roughly 80 percent of Americans fail to do what could slash their risk of death by any cause."
sugar,2026-06-22 17:46:35+00:00,[TX Senate Candidate] Talarico Welcomed Activist Group Targeting Oil and Gas Industry,"A newly surfaced video shows Democrat U.S. Senate candidate James Talarico welcoming a climate activist organization to Texas and praising its work, a position that appears at odds with his campaign’s efforts to portray him as a supporter of the state’s energ…",Freerepublic.com,"[TX Senate Candidate] Talarico Welcomed Activist Group Targeting Oil and Gas Industry A newly surfaced video shows Democrat U.S. Senate candidate James Talarico welcoming a climate activist organization to Texas and praising its work, a position that appears at odds with his campaign’s efforts to portray him as a supporter of the state’s energ…"
sugar,2026-06-22 17:02:33+00:00,Sugar Prices Slide Amid Crude Oil Weakness,"July NY world sugar #11 (SBN26) today is down -0.29 (-2.13%), and Aug London ICE white sugar #5 (SWQ26) is down -2.40 (-0.54%).
Sugar prices are sliding today, with NY sugar falling sharply to a 2-month low. Today’s -2% decline in crude oil prices (CLN26) has…",Biztoc.com,"Sugar Prices Slide Amid Crude Oil Weakness July NY world sugar #11 (SBN26) today is down -0.29 (-2.13%), and Aug London ICE white sugar #5 (SWQ26) is down -2.40 (-0.54%).
Sugar prices are sliding today, with NY sugar falling sharply to a 2-month low. Today’s -2% decline in crude oil prices (CLN26) has…"
sugar,2026-06-22 17:01:04+00:00,"Pound for pound, Apple TV is probably the best streamer in the game – The Guardian (‘Sugar’ season two review)","Apple TV's “Sugar” is a contemporary, unique take on one of the most popular and significant genres in literary, motion picture and TV…
The post Pound for pound, Apple TV is probably the best streamer in the game – The Guardian (‘Sugar’ season two review) app…",Macdailynews.com,"Pound for pound, Apple TV is probably the best streamer in the game – The Guardian (‘Sugar’ season two review) Apple TV's “Sugar” is a contemporary, unique take on one of the most popular and significant genres in literary, motion picture and TV…
The post Pound for pound, Apple TV is probably the best streamer in the game – The Guardian (‘Sugar’ season two review) app…"
sugar,2026-06-22 17:00:30+00:00,It’s Time to Break Up With Your Winter Fragrances,Summer is here!,The Cut,It’s Time to Break Up With Your Winter Fragrances Summer is here!
sugar,2026-06-22 17:00:07+00:00,A Word of Warning About Drinking Around the World at EPCOT,"Drinking Around the World at EPCOT can be fun, but it can also go sideways fast if you are not careful. Before you grab that first margarita, here are the tips that can save your wallet, your stomach, and tomorrow morning.",disneyfoodblog.com,"A Word of Warning About Drinking Around the World at EPCOT Drinking Around the World at EPCOT can be fun, but it can also go sideways fast if you are not careful. Before you grab that first margarita, here are the tips that can save your wallet, your stomach, and tomorrow morning."
sugar,2026-06-22 17:00:00+00:00,Steam Machine review,"A wonderful design can't beat the ugly realities of pricing, performance, and consumer value.",PC Gamer,"Steam Machine review A wonderful design can't beat the ugly realities of pricing, performance, and consumer value."
sugar,2026-06-22 16:52:23+00:00,"Los Angeles schools superintendent resigns, months after FBI raid","Los Angeles Unified School District Superintendent Alberto Carvalho has announced he is resigning, months after he was placed on administrative leave following an FBI raid at his home and office in February, the district confirmed Sunday. An LAUSD spokesperso…",Freerepublic.com,"Los Angeles schools superintendent resigns, months after FBI raid Los Angeles Unified School District Superintendent Alberto Carvalho has announced he is resigning, months after he was placed on administrative leave following an FBI raid at his home and office in February, the district confirmed Sunday. An LAUSD spokesperso…"
sugar,2026-06-22 16:40:40+00:00,"UK forced to re-write ‘one in, one out’ deal with France… as small boat migrants keep re-entering after being deported","THE UK has been forced to rewrite the “one in, one out” deal with France as small boat migrants continue to re-enter Britain. People smugglers have been using lorries to bring migrants previously deported under the deal back into the country. The original tre…",Freerepublic.com,"UK forced to re-write ‘one in, one out’ deal with France… as small boat migrants keep re-entering after being deported THE UK has been forced to rewrite the “one in, one out” deal with France as small boat migrants continue to re-enter Britain. People smugglers have been using lorries to bring migrants previously deported under the deal back into the country. The original tre…"
sugar,2026-06-22 16:32:54+00:00,SpaceX Ripped Past a $2.5 Trillion Valuation Following Its Historic IPO. Is SPCX Stock a Dangerous Bubble at $185?,"At $185, SpaceX (NASDAQ:SPCX) faces a stretched setup. The newly public rocket and connectivity giant has become the loudest IPO story on Wall Street, and th...",24/7 Wall St.,"SpaceX Ripped Past a $2.5 Trillion Valuation Following Its Historic IPO. Is SPCX Stock a Dangerous Bubble at $185? At $185, SpaceX (NASDAQ:SPCX) faces a stretched setup. The newly public rocket and connectivity giant has become the loudest IPO story on Wall Street, and th..."
sugar,2026-06-22 16:31:29+00:00,Sugar Prices Slide Amid Crude Oil Weakness,"July NY world sugar #11 (SBN26 ) today is down -0.29 (-2.13%), and Aug London ICE white sugar #5 (SWQ26 ) is down -2.40 (-0.54%). Sugar prices are sliding to...",Barchart.com,"Sugar Prices Slide Amid Crude Oil Weakness July NY world sugar #11 (SBN26 ) today is down -0.29 (-2.13%), and Aug London ICE white sugar #5 (SWQ26 ) is down -2.40 (-0.54%). Sugar prices are sliding to..."
sugar,2026-06-22 16:28:49+00:00,No Ceasefire in the Islamic Republic’s War Against Women,"For nearly half a century, the Islamic Republic of Iran has attempted to convince the world that it represents justice, morality, and the will of the Iranian people. But behind the propaganda lies a brutal reality that millions of Iranians know all too well. …",Freerepublic.com,"No Ceasefire in the Islamic Republic’s War Against Women For nearly half a century, the Islamic Republic of Iran has attempted to convince the world that it represents justice, morality, and the will of the Iranian people. But behind the propaganda lies a brutal reality that millions of Iranians know all too well. …"
sugar,2026-06-22 16:20:57+00:00,Grilled Potatoes in Foil,"Grilled Potatoes in Foil 
I can’t tell you how many times grilled red potatoes have saved the day. I almost always have baby red…
READ: Grilled Potatoes in Foil",Fitfoodiefinds.com,"Grilled Potatoes in Foil Grilled Potatoes in Foil 
I can’t tell you how many times grilled red potatoes have saved the day. I almost always have baby red…
READ: Grilled Potatoes in Foil"
sugar,2026-06-22 16:18:15+00:00,The Five Hardest Matchups For the Georgia Bulldogs 2026 College Football Season,"As the Georgia Bulldogs 2026 college football season approaches, these five matchups should present the biggest challenges for the Bulldogs.",Sports Illustrated,"The Five Hardest Matchups For the Georgia Bulldogs 2026 College Football Season As the Georgia Bulldogs 2026 college football season approaches, these five matchups should present the biggest challenges for the Bulldogs."
sugar,2026-06-22 16:09:13+00:00,12-Pack 15-Ounce Starbucks Doubleshot Zero Sugar Coffee Energy Drink (French Vanilla) $23.37 w/ S&S + Free Shipping w/ Prime or on $35+,Amazon [amazon.com] has *12-Pack 15-Ounce Starbucks Doubleshot Zero Sugar Coffee Energy Drink (French Vanilla)* on sale for $23.37 - 5% off when you checkout via Subscribe & Save = *$23.37*. Shipping...,Slickdeals.net,12-Pack 15-Ounce Starbucks Doubleshot Zero Sugar Coffee Energy Drink (French Vanilla) $23.37 w/ S&S + Free Shipping w/ Prime or on $35+ Amazon [amazon.com] has *12-Pack 15-Ounce Starbucks Doubleshot Zero Sugar Coffee Energy Drink (French Vanilla)* on sale for $23.37 - 5% off when you checkout via Subscribe & Save = *$23.37*. Shipping...
sugar,2026-06-22 15:54:03+00:00,‘Powerpuff Girls’ Animated Movie in Development at Warner Bros.,"Blossom, Bubbles and Buttercup are heading to the big screen. A new “Powerpuff Girls” movie is in development at Warner Bros. Animation, the company shared Monday at Annecy International Animation Film Festival, which is currently talking place in France. Sou…",Variety,"‘Powerpuff Girls’ Animated Movie in Development at Warner Bros. Blossom, Bubbles and Buttercup are heading to the big screen. A new “Powerpuff Girls” movie is in development at Warner Bros. Animation, the company shared Monday at Annecy International Animation Film Festival, which is currently talking place in France. Sou…"
sugar,2026-06-22 15:50:45+00:00,"Amit Shah Diabetes: Video of Home Minister on how he reversed diabetes, lost 20 kgs and is now free from allopathic medicine and insulin goes viral","Union Home Minister Amit Shah revealed his remarkable health turnaround, shedding over 20 kgs and reversing diabetes since May 2020.  Through consistent lifestyle changes focusing on sleep, hydration, diet, and exercise, he claims to be free from allopathic m…",The Times of India,"Amit Shah Diabetes: Video of Home Minister on how he reversed diabetes, lost 20 kgs and is now free from allopathic medicine and insulin goes viral Union Home Minister Amit Shah revealed his remarkable health turnaround, shedding over 20 kgs and reversing diabetes since May 2020.  Through consistent lifestyle changes focusing on sleep, hydration, diet, and exercise, he claims to be free from allopathic m…"
sugar,2026-06-22 15:49:18+00:00,The best and worst fruits and vegetables for your health,One in 10 American adults aren’t getting enough fruits and vegetables in their diet,The-independent.com,The best and worst fruits and vegetables for your health One in 10 American adults aren’t getting enough fruits and vegetables in their diet
sugar,2026-06-22 15:46:03+00:00,"SpaceX Initiates Bond Sale For $20 Billion, Even as Stock Slides",SpaceX needs to refinance the junk debt it inherited from xAI acquisition last year.,Moby.co,"SpaceX Initiates Bond Sale For $20 Billion, Even as Stock Slides SpaceX needs to refinance the junk debt it inherited from xAI acquisition last year."
sugar,2026-06-22 15:46:00+00:00,"Frontiers | Caries risk in toddlers: assessing oral health, microbial factors, and maternal transmission","ObjectivesCaries risk begins early in life, yet few studies use intraoral cameras to assess risk in toddlers or examine multiple contributing factors. This s...",Frontiersin.org,"Frontiers | Caries risk in toddlers: assessing oral health, microbial factors, and maternal transmission ObjectivesCaries risk begins early in life, yet few studies use intraoral cameras to assess risk in toddlers or examine multiple contributing factors. This s..."
sugar,2026-06-22 15:43:27+00:00,40 Pack Of Dunkin’ Zero Sugar Refreshers To Go Powdered Drink Mix Packets For $5.52-$6.17 From Amazon After Prime Savings!,"40 Pack Of Dunkin’ Zero Sugar Refreshers To Go Powdered Drink Mix Packets For $5.52-$6.17 From Amazon After Prime Savings! This was selling for $12.98 and is now the lowest price ever from Amazon. DUNKIN’ REFRESHERS ANYTIME, ANYWHERE: Enjoy the same iconic Du…",Dansdeals.com,"40 Pack Of Dunkin’ Zero Sugar Refreshers To Go Powdered Drink Mix Packets For $5.52-$6.17 From Amazon After Prime Savings! 40 Pack Of Dunkin’ Zero Sugar Refreshers To Go Powdered Drink Mix Packets For $5.52-$6.17 From Amazon After Prime Savings! This was selling for $12.98 and is now the lowest price ever from Amazon. DUNKIN’ REFRESHERS ANYTIME, ANYWHERE: Enjoy the same iconic Du…"
sugar,2026-06-22 15:36:36+00:00,"This High-Protein, High-Fiber Grilled Chicken Salad Is a Complete Meal","This easy Grilled Chicken Salad combines juicy grilled chicken, fresh vegetables, sweet mango, black beans, and a creamy cilantro lime yogurt dressing for a high-protein, high-fiber meal that’s perfect for lunch or dinner. Grilled Chicken Salad with Mango and…",Skinnytaste.com,"This High-Protein, High-Fiber Grilled Chicken Salad Is a Complete Meal This easy Grilled Chicken Salad combines juicy grilled chicken, fresh vegetables, sweet mango, black beans, and a creamy cilantro lime yogurt dressing for a high-protein, high-fiber meal that’s perfect for lunch or dinner. Grilled Chicken Salad with Mango and…"
sugar,2026-06-22 15:35:10+00:00,"Hochul extends free healthcare program for sex workers, and taxpayers will foot the $2.5M bill",Gov. Kathy Hochul has quietly extended a pilot program providing free healthcare to sex workers – with taxpayers footing the nearly $2.5 million bill. The state Health Department in 2023 awarded $1 million in public funds to two contractors as part of Hochul’…,Freerepublic.com,"Hochul extends free healthcare program for sex workers, and taxpayers will foot the $2.5M bill Gov. Kathy Hochul has quietly extended a pilot program providing free healthcare to sex workers – with taxpayers footing the nearly $2.5 million bill. The state Health Department in 2023 awarded $1 million in public funds to two contractors as part of Hochul’…"
sugar,2026-06-22 15:28:10+00:00,CM: Prepare plan to revive 9 closed sugar mills and set up 25 new units,"Bihar CM Samrat Choudhary orders plan to revive 9 closed sugar mills and set up 25 new units, boosting cane farmers, investment, jobs and Champaran output.",The Times of India,"CM: Prepare plan to revive 9 closed sugar mills and set up 25 new units Bihar CM Samrat Choudhary orders plan to revive 9 closed sugar mills and set up 25 new units, boosting cane farmers, investment, jobs and Champaran output."
sugar,2026-06-22 15:12:16+00:00,What is the release date for Sugar season 2 episode 2 on Apple TV?,"Sugar season 2 continues this week, here's everything you need to know about when you can watch it.",TechRadar,"What is the release date for Sugar season 2 episode 2 on Apple TV? Sugar season 2 continues this week, here's everything you need to know about when you can watch it."
sugar,2026-06-22 15:07:59+00:00,Running in the heat? This one drink before you run will bring down your body temp,Running in the heat? This one drink before you run will bring down your body temprunnersworld.com,Runner's World (UK),Running in the heat? This one drink before you run will bring down your body temp Running in the heat? This one drink before you run will bring down your body temprunnersworld.com
sugar,2026-06-22 15:00:00+00:00,Is it true wild cheetahs have never killed humans?,Here's what we know about the lethality of the world's fastest land animal.,Snopes.com,Is it true wild cheetahs have never killed humans? Here's what we know about the lethality of the world's fastest land animal.
sugar,2026-06-22 14:55:17+00:00,40-Ct Dunkin' Zero Sugar Refreshers Drink Mix (Variety) $6.15 w/ S&S,Amazon [amazon.com] has *40-Count Dunkin' Zero Sugar Refreshers Singles To Go Powdered Drink Mix Variety Pack* on sale for $6.49 - 5% off when you checkout via Subscribe & Save = *$6.17*. Shipping is...,Slickdeals.net,40-Ct Dunkin' Zero Sugar Refreshers Drink Mix (Variety) $6.15 w/ S&S Amazon [amazon.com] has *40-Count Dunkin' Zero Sugar Refreshers Singles To Go Powdered Drink Mix Variety Pack* on sale for $6.49 - 5% off when you checkout via Subscribe & Save = *$6.17*. Shipping is...
sugar,2026-06-22 14:53:02+00:00,"Coke, Pepsi and Dr Pepper will begin using QR codes for ingredient information","America’s biggest nonalcoholic beverage companies will add ingredient safety data to QR codes, giving consumers access to more information.",NBC News,"Coke, Pepsi and Dr Pepper will begin using QR codes for ingredient information America’s biggest nonalcoholic beverage companies will add ingredient safety data to QR codes, giving consumers access to more information."
sugar,2026-06-22 14:35:48+00:00,Jeffrey Donaldson found guilty of child sexual offences including rape (Northern Ireland politician),Jeffrey Donaldson has been found guilty of sexual offences against two victims who were children at the time of the abuse. The former Democratic Unionist party (DUP) leader faces a potential jail sentence after a jury at Newry crown court on Monday convicted …,Freerepublic.com,Jeffrey Donaldson found guilty of child sexual offences including rape (Northern Ireland politician) Jeffrey Donaldson has been found guilty of sexual offences against two victims who were children at the time of the abuse. The former Democratic Unionist party (DUP) leader faces a potential jail sentence after a jury at Newry crown court on Monday convicted …
sugarcane,2026-06-23 07:00:00+00:00,"Where to find a cool, creative getaway near the Gold Coast","A cool, creative hub to rival Byron Bay.",New Zealand Herald,"Where to find a cool, creative getaway near the Gold Coast A cool, creative hub to rival Byron Bay."
sugarcane,2026-06-22 20:39:00+00:00,"First the Kennedy Center, Now the Smithsonian","How long can the museum system’s leader, Lonnie Bunch, survive?",The Atlantic,"First the Kennedy Center, Now the Smithsonian How long can the museum system’s leader, Lonnie Bunch, survive?"
sugarcane,2026-06-22 19:03:49+00:00,Junnar forest dept captures 51 leopards in 7 months,"Junnar Forest Division traps 51 leopards in 7 months in Shirur’s Bet Baag villages, as sugarcane fields fuel human-wildlife conflict; AI alerts added.",The Times of India,"Junnar forest dept captures 51 leopards in 7 months Junnar Forest Division traps 51 leopards in 7 months in Shirur’s Bet Baag villages, as sugarcane fields fuel human-wildlife conflict; AI alerts added."
sugarcane,2026-06-22 15:19:28+00:00,"India’s ethanol dream hinges on affordability, not policy push","Ethanol may need to fall to around ₹60-65 a litre before India’s E100 push wins mass-market adoption, according to industry executives, analysts and automakers who say consumer economics, not government policy, will determine whether motorists switch from pet…",BusinessLine,"India’s ethanol dream hinges on affordability, not policy push Ethanol may need to fall to around ₹60-65 a litre before India’s E100 push wins mass-market adoption, according to industry executives, analysts and automakers who say consumer economics, not government policy, will determine whether motorists switch from pet…"
sugarcane,2026-06-22 11:48:02+00:00,Decomposed body of girl found in West Champaran village,"15-year-old Khushi Kumari found dead in a sugarcane field in West Champaran; police probe murder and possible assault as FSL collects evidence, postmortem awaited.",The Times of India,"Decomposed body of girl found in West Champaran village 15-year-old Khushi Kumari found dead in a sugarcane field in West Champaran; police probe murder and possible assault as FSL collects evidence, postmortem awaited."
sugarcane,2026-06-22 09:07:50+00:00,"India's sugar season ends strong, but monsoon delay casts shadow over next year's crop: ISMA DG","India's sugar industry concludes the current season with ample stocks, but the delayed, below-normal monsoon poses a significant concern for the upcoming year. Key growing states like Maharashtra and Karnataka are under close watch as the weather will dictate…",The Times of India,"India's sugar season ends strong, but monsoon delay casts shadow over next year's crop: ISMA DG India's sugar industry concludes the current season with ample stocks, but the delayed, below-normal monsoon poses a significant concern for the upcoming year. Key growing states like Maharashtra and Karnataka are under close watch as the weather will dictate…"
sugarcane,2026-06-21 22:06:48+00:00,Macadamia boom sees orchard area more than double,"The macadamia production area in Australia has more than doubled in the past decade, but the price is expected to hold strong for consumers.",ABC News (AU),"Macadamia boom sees orchard area more than double The macadamia production area in Australia has more than doubled in the past decade, but the price is expected to hold strong for consumers."
sugarcane,2026-06-21 16:22:48+00:00,State delegation holds talks with sugar industry experts in Pune,"Bihar sugarcane officials met sugar and ethanol experts in Pune to seek investment for sugar mills, ethanol, bio-energy, bio-CNG and gur industries.",The Times of India,"State delegation holds talks with sugar industry experts in Pune Bihar sugarcane officials met sugar and ethanol experts in Pune to seek investment for sugar mills, ethanol, bio-energy, bio-CNG and gur industries."
sugarcane,2026-06-21 11:45:11+00:00,Sunday: Hili dialogue,"Welcome to Sunday, June 21: the FIRST DAY OF SUMMER and the longest day of the year. Summer officially began at 3:24 a.m. Chicago time and, sadly, rain is predicted for our area. It’s also Father’s Day, so my ducks will be fêting me, I hope.  The unnamed pair…",Whyevolutionistrue.com,"Sunday: Hili dialogue Welcome to Sunday, June 21: the FIRST DAY OF SUMMER and the longest day of the year. Summer officially began at 3:24 a.m. Chicago time and, sadly, rain is predicted for our area. It’s also Father’s Day, so my ducks will be fêting me, I hope.  The unnamed pair…"
sugarcane,2026-06-21 08:30:05+00:00,Honor Soccer’s World Cup GOAT with the Intense Refreshment of Fernet & Coke,"Also known as Argentina's unofficial national drink, ""Fernet con coca"" is astoundingly popular in the land that gave us Lionel Messi.",Jezebel,"Honor Soccer’s World Cup GOAT with the Intense Refreshment of Fernet & Coke Also known as Argentina's unofficial national drink, ""Fernet con coca"" is astoundingly popular in the land that gave us Lionel Messi."
sugarcane,2026-06-21 03:10:06+00:00,Why India needs a farmer’s health policy,"In intensive cash-crop zones, such as the sugarcane belts of western India, economic value is drawn directly from the physical stamina of the workforce",BusinessLine,"Why India needs a farmer’s health policy In intensive cash-crop zones, such as the sugarcane belts of western India, economic value is drawn directly from the physical stamina of the workforce"
sugarcane,2026-06-21 00:47:24+00:00,Fears policy shift ups risk for farmers using own gear to fight fires,"More than half of Queensland's volunteer rural fire brigades use privately owned vehicles to fight bushfires, with insurance changes leaving them to question their coverage.",ABC News (AU),"Fears policy shift ups risk for farmers using own gear to fight fires More than half of Queensland's volunteer rural fire brigades use privately owned vehicles to fight bushfires, with insurance changes leaving them to question their coverage."
sugarcane,2026-06-20 01:46:54+00:00,"Brazil, Haiti celebrate shared history at World Cup in Philadelphia","Brazil and Haiti fans joined together before a historic World Cup match in Philadelphia on June 19, to cherish their shared history.",The News Journal,"Brazil, Haiti celebrate shared history at World Cup in Philadelphia Brazil and Haiti fans joined together before a historic World Cup match in Philadelphia on June 19, to cherish their shared history."
sugarcane,2026-06-20 01:25:53+00:00,The obscure airfields of America,"Abandoned & Little-Known Airfields [airfields-freeman.com] collects America's half-forgotten strips and reconstructs each one's history from old aeronautical charts, topographic maps, aerial photographs, and tips from readers who flew or lived nearby. Every a…",Boing Boing,"The obscure airfields of America Abandoned & Little-Known Airfields [airfields-freeman.com] collects America's half-forgotten strips and reconstructs each one's history from old aeronautical charts, topographic maps, aerial photographs, and tips from readers who flew or lived nearby. Every a…"
sugarcane,2026-06-19 13:59:43+00:00,"Pomegranate: Health Benefits, Nutrition, Uses & Recipes","Discover the pomegranate: its history, health benefits, rich antioxidants, culinary uses, and tips for selecting, storing, and enjoying this vibrant superfruit.",Outofofficeny.com,"Pomegranate: Health Benefits, Nutrition, Uses & Recipes Discover the pomegranate: its history, health benefits, rich antioxidants, culinary uses, and tips for selecting, storing, and enjoying this vibrant superfruit."
